fleet,rank,sailNumber,boatName,beforeRace1,r1_hcapAchieved,r1_change,r1_timeDelta,r1_nextHcap,r2_hcapAchieved,r2_change,r2_timeDelta,r2_nextHcap,r3_hcapAchieved,r3_change,r3_timeDelta,r3_nextHcap,r4_hcapAchieved,r4_change,r4_timeDelta,r4_nextHcap,r5_hcapAchieved,r5_change,r5_timeDelta,r5_nextHcap,r6_hcapAchieved,r6_change,r6_timeDelta,r6_nextHcap,changeOverSeries,compositeHcap
CR3,1,5270,Jupiter,0.920,0.9960,+0.023,0:00:00,0.943,1.0634,+0.036,0:00:00,0.979,1.0486,+0.021,0:00:00,1.000,1.0762,+0.023,0:05:35,1.023,1.0785,+0.017,0:02:02,1.040,1.0123,-0.008,0:06:08,1.032,+0.112,1.05599
CR3,2,144,Gerda,0.900,0.9497,+0.015,0:03:11,0.915,0.9741,+0.018,0:04:07,0.933,0.9961,+0.019,0:00:16,0.952,0.8477,-0.031,0:30:28,0.921,0.9687,+0.014,0:02:24,0.935,0.9803,+0.014,0:01:45,0.949,+0.049,0.97140
CR3,3,2,Santoku,0.900,0.9717,+0.022,0:00:20,0.922,0.9564,+0.010,0:06:01,0.932,0.9921,+0.018,0:00:32,0.950,0.8822,-0.020,0:24:40,0.930,1.0171,+0.026,0:00:00,0.956,0.9597,+0.001,0:04:34,0.957,+0.057,0.96572
CR3,4,7115,Gecko,0.925,0.9835,+0.018,0:02:11,0.943,0.9738,+0.009,0:06:12,0.952,0.9851,+0.010,0:02:58,0.962,1.0268,+0.019,0:06:46,0.981,1.0016,+0.006,0:04:03,0.987,0.9779,-0.003,0:05:17,0.984,+0.059,0.98430
CR3,5,680,Kilcullen,0.920,0.9715,+0.015,0:03:03,0.935,0.9164,-0.006,0:10:16,0.929,0.9817,+0.016,0:01:10,0.945,0.9897,+0.013,0:09:11,0.958,0.9873,+0.009,0:03:34,0.967,0.9751,+0.002,0:04:13,0.969,+0.049,0.97842
CR3,6,5393,Hazy Blues,0.952,0.9830,+0.009,0:05:39,0.961,1.0089,+0.014,0:04:54,0.975,0.9904,+0.005,0:04:29,0.980,0.9572,-0.007,0:17:22,0.973,1.0040,+0.009,0:03:26,0.982,0.9363,-0.014,0:07:55,0.968,+0.016,0.98668
CR3,7,141,Blizzard,0.900,0.9287,+0.009,0:06:03,0.909,0.8881,-0.006,0:10:49,0.903,0.9364,+0.010,0:02:55,0.913,0.8870,-0.008,0:19:22,0.905,0.9330,+0.008,0:03:45,0.913,0.9254,+0.004,0:04:06,0.917,+0.017,0.92703
CR3,8,257,Equaliser,0.825,0.7667,-0.017,0:22:11,0.808,0.8260,+0.005,0:08:08,0.813,0.7412,-0.022,0:17:14,0.791,0.7732,-0.005,0:21:24,0.786,0.7864,+0.000,0:06:37,0.786,0.7936,+0.002,0:05:05,0.788,-0.037,0.77979
CR3,9,307,Wynward,0.800,0.7776,-0.007,0:15:48,0.793,0.7647,-0.008,0:13:37,0.785,0.7368,-0.014,0:14:25,0.771,0.8731,+0.031,0:00:00,0.802,0.7419,-0.018,0:12:42,0.784,0.7820,-0.001,0:06:06,0.783,-0.017,0.77112
CR3,10,35,Eleint,0.875,0.9020,+0.008,0:06:22,0.883,0.8681,-0.004,0:10:36,0.879,0.8502,-0.009,0:09:48,0.870,0.9272,+0.017,0:07:41,0.887,0.8369,-0.015,0:10:01,0.872,0.8407,-0.009,0:08:04,0.863,-0.012,0.85910
CR3,11,8001,Gyb2survive,0.827,0.8270,0.000,NF,0.827,0.8202,-0.002,0:10:34,0.825,0.7721,-0.016,0:14:02,0.809,0.7698,-0.012,0:25:06,0.797,0.7108,-0.026,0:15:51,0.771,0.8303,+0.018,0:00:00,0.789,-0.038,0.79613
CR3,12,2855,Pamafe,0.880,0.8107,-0.021,0:22:06,0.859,0.8418,-0.005,0:11:11,0.854,0.8422,-0.004,0:08:05,0.850,0.8991,+0.015,0:08:52,0.865,0.7799,-0.026,0:13:45,0.839,0.8237,-0.005,0:06:56,0.834,-0.046,0.83277
CR3,13,8044,Hitch Hicker,0.860,0.7639,-0.029,0:28:15,0.831,0.8436,+0.004,0:08:30,0.835,0.7911,-0.013,0:12:32,0.822,0.7812,-0.012,0:24:53,0.810,0.7919,-0.005,0:08:11,0.805,0.7750,-0.009,0:08:50,0.796,-0.064,0.78619
CR3,14,5373,Honey Bee,0.923,0.9516,+0.009,0:06:01,0.932,0.8393,-0.028,0:17:14,0.904,0.9040,0.000,NF,0.904,0.8286,-0.023,0:27:48,0.881,0.8810,0.000,NF,0.881,0.9057,+0.007,0:03:14,0.888,-0.035,0.89250
CR3,15,1662,Happy Days,0.920,0.7434,-0.053,0:41:01,0.867,0.7433,-0.037,0:23:11,0.830,0.7601,-0.021,0:16:23,0.809,0.8090,0.000,NF,0.809,0.8090,0.000,NF,0.809,0.8090,0.000,NF,0.809,-0.111,0.78455
