fleet,sailNumber,finishTime,resultCode
CR0,6888,13:24:44,
CR0,7737,13:27:05,
CR0,1840,13:28:53,
CR0,1003,13:30:06,
CR2,3494,13:31:06,
CR1,19109,13:33:09,
CR2,6697,13:33:19,
CR0,9494,13:33:35,
CR0,1681,13:34:28,
CR2,977,13:34:47,
CR0,4240,13:34:59,
CR1,2160,13:36:36,
CR1,29213,13:37:01,
CR2,1357,13:37:05,
CR2,111,13:39:21,
CR1,8543,13:40:00,
CR2,2597,13:40:27,
CR1,1206,13:40:37,
CR1,8933,13:41:31,
CR1,1242,13:44:51,
CR1,28898,13:45:50,
CR2,7347,13:46:13,
CR1,7778,13:46:18,
CR2,7495,13:46:55,
CR2,8223,13:47:53,
CR1,9222,13:48:14,
CR2,33301,13:51:16,
CR3,5270,13:52:18,
CR1,1095,13:52:26,
CR1,53222,13:53:41,
CR3,7115,13:57:42,
CR3,2133,14:01:11,
CR3,680,14:02:07,
CR3,5393,14:06:16,
CR3,35,14:10:21,
CR3,2855,14:14:25,
CR3,141,14:16:15,
CR3,2,14:17:00,
CR3,307,14:18:25,
CR3,144,14:22:34,
CR3,5373,14:25:51,
CR3,8044,14:34:42,
CR3,257,14:36:19,
CR3,8001,14:37:00,
CR1,2068,,
CR2,918,,DNC
CR3,1662,,DNC
